日付,曜,A,B,C,D,E,F,G,H,I,J,K,L,M
2023/9/24,日,,,,,,,,,,,,,
2023/9/25,月,21,2,,1,1,1,11,11,11,1,1,1,
2023/9/26,火,1,1,1,20,21,,1,1,1,11,11,11,25
2023/9/27,水,,,20,,,2,,,21,,,22,24
2023/9/28,木,11,11,11,1,1,1,22,2,,1,1,1,2
2023/9/29,金,1,1,1,11,11,11,1,1,1,2,21,,1
2023/9/30,土,,,,,,,,,,,,,
2023/10/1,日,,,,,,,,,,,,,
2023/10/2,月,22,20,,1,1,1,11,11,11,1,1,1,
2023/10/3,火,1,1,1,2,22,,1,1,1,11,11,11,25
2023/10/4,水,,,21,,,20,,,22,,,2,
2023/10/5,木,11,11,11,1,1,1,20,21,,1,1,1,23
2023/10/6,金,1,1,1,11,11,11,1,1,1,20,22,,1
2023/10/7,土,,,,,,,,,,,,,
2023/10/8,日,,,,,,,,,,,,,
2023/10/9,月,,21,,1,1,1,11,11,11,1,1,1,
2023/10/10,火,1,1,1,21,20,,1,1,1,11,11,11,25
2023/10/11,水,,,22,,,21,,,2,,,20,
2023/10/12,木,11,11,11,1,1,1,2,22,,1,1,1,20
2023/10/13,金,1,1,1,11,11,11,1,1,1,21,2,,1
2023/10/14,土,,,,,,,,,,,,,
2023/10/15,日,,,,,,,,,,,,,
2023/10/16,月,2,22,,1,1,1,11,11,11,1,1,1,
2023/10/17,火,1,1,1,22,1,,1,1,1,11,11,11,25
